d,sigma,theta,k
0.0029,0.05,0.5,0
0.0032,0.05,0.5,0
0.0017,0.05,0.5,0
0.0034,0.05,0.5,0
0.0024,0.05,0.5,0
0.0022,0.05,0.5,0
0.0011,0.05,0.5,0
0.0018,0.05,0.5,0
0.0031,0.05,0.5,0
0.0041,0.05,0.5,0
0.0031,0.05,0.5,0
0.003,0.05,0.5,0
0.0022,0.05,0.5,0
0.0015,0.05,0.5,0
0.0013,0.05,0.5,0
0.0025,0.05,0.5,0
0.0033,0.05,0.5,0
0.0018,0.05,0.5,0
0.0026,0.05,0.5,0
0.0011,0.05,0.5,0
0.0017,0.05,0.5,0
0.0014,0.05,0.5,0
0.0034,0.05,0.5,0
0.0015,0.05,0.5,0
0.0022,0.05,0.5,0
0.0039,0.05,0.5,0
0.0041,0.05,0.5,0
0.002,0.05,0.5,0
0.0035,0.05,0.5,0
0.0033,0.05,0.5,0
0.0032,0.05,0.5,0
0.001,0.05,0.5,0
0.0024,0.05,0.5,0
0.0033,0.05,0.5,0
0.0035,0.05,0.5,0
0.0043,0.05,0.5,0
0.0036,0.05,0.5,0
0.0028,0.05,0.5,0
0.0021,0.05,0.5,0
0.0018,0.05,0.5,0
0.0037,0.05,0.5,0
0.0052,0.05,0.5,0
0.0017,0.05,0.5,0
0.0037,0.05,0.5,0
0.0007,0.05,0.5,0
0.0022,0.05,0.5,0
0.0015,0.05,0.5,0
0.005,0.05,0.5,0
0.002,0.05,0.5,0
0.0024,0.05,0.5,0
